Region,Wind_Target,Solar_Target
AFR,150,150
AUS,34.42,50.8
FSU,,
CAN,26.71,6.03
CHN,800,1025
CSA,,
IND,109.98,318.51
JPN,17.9,117.6
MEA,,
MEX,12.7,22.8
ODA,,
EEU,,
KOR,19.3,52.98
USA,334,468
WEU,510,592
